Institute,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat,Disability
3,0,2016,9,188,188,0,1
3,0,2016,1,47,14,2,0
3,0,2016,2,115,24,0,0
3,0,2016,10,14,11,0,1
3,0,2016,34,1719,1105,3,0
5,0,2016,0,4434,3432,0,0
5,0,2016,0,1206,908,3,0
4,0,2016,8,2887,2222,1,0
4,0,2016,1,1349,714,1,0
0,0,2016,16,542,542,2,0
0,0,2016,0,1122,689,3,0
0,0,2016,19,988,973,2,0
1,0,2016,40,404,223,1,0
1,0,2016,39,928,477,1,0
2,0,2016,1,1341,1100,3,0
3,0,2016,27,876,739,3,0
3,0,2016,2,43,23,3,0
3,0,2016,28,47,44,3,0
3,0,2016,34,102,102,0,1
5,0,2016,1,2371,2013,1,0
5,0,2016,10,403,299,2,0
5,0,2016,4,3200,2912,1,0
5,0,2016,4,1073,831,2,0
4,0,2016,22,3091,2652,1,0
4,0,2016,37,151,151,0,1
4,0,2016,30,8658,6645,0,0
4,0,2016,23,10310,5783,0,0
4,0,2016,28,12,12,0,1
0,0,2016,1,416,357,2,0
0,0,2016,16,1483,1483,3,0
0,0,2016,2,606,299,3,0
0,0,2016,0,5716,3710,0,0
0,0,2016,17,602,602,2,0
0,0,2016,19,2986,1779,1,0
0,0,2016,0,157,157,0,1
0,0,2016,19,45,45,1,1
1,0,2016,9,1479,422,0,0
0,0,2016,2,468,390,2,0
1,0,2016,9,40,40,1,1
1,0,2016,12,45,45,1,1
0,0,2016,38,4432,2529,0,0
1,0,2016,20,697,661,2,0
1,0,2016,40,87,60,2,0
0,0,2016,25,2221,1800,1,0
1,0,2016,33,796,283,1,0
1,0,2016,21,514,228,0,0
0,0,2016,17,6554,5680,0,0
1,0,2016,21,130,89,2,0
1,0,2016,33,43,43,0,1
1,0,2016,12,1098,408,1,0
1,0,2016,0,777,26,0,0
1,0,2016,3,706,607,2,0
1,0,2016,9,3,3,3,1
1,0,2016,33,1041,6,0,0
1,0,2016,32,284,189,3,0
1,0,2016,20,49,49,0,1
1,0,2016,26,3403,3113,0,0
1,0,2016,24,959,766,3,0
1,0,2016,1,108,57,2,0
1,0,2016,24,1783,1560,1,0
3,0,2016,29,536,438,1,0
1,0,2016,2,15,1,2,0
3,0,2016,0,178,20,3,0
1,0,2016,24,384,384,2,0
1,0,2016,40,24,24,0,1
2,0,2016,0,2392,2126,1,0
5,0,2016,2,427,365,3,0
1,0,2016,32,484,428,1,0
5,0,2016,10,1686,1329,1,0
3,0,2016,8,91,91,0,1
2,0,2016,2,1201,821,1,0
3,0,2016,34,5431,2826,0,0
4,0,2016,11,1718,1618,1,0
3,0,2016,8,3718,2609,0,0
4,0,2016,27,3606,3009,0,0
5,0,2016,2,676,448,1,0
3,0,2016,8,2207,1715,1,0
4,0,2016,12,16,16,1,1
4,0,2016,35,35,35,1,1
4,0,2016,1,123,123,0,1
3,0,2016,27,2996,1729,0,0
3,0,2016,33,15,15,0,1
4,0,2016,31,1556,1288,0,0
4,0,2016,31,418,339,3,0
3,0,2016,33,618,202,2,0
5,0,2016,0,1776,1337,1,0
4,0,2016,31,745,581,1,0
4,0,2016,37,1125,119,2,0
4,0,2016,41,1119,884,2,0
0,0,2016,1,7066,5456,0,0
1,0,2016,1,1007,356,1,0
1,0,2016,40,583,249,0,0
1,0,2016,33,763,360,3,0
1,0,2016,39,1843,1092,0,0
1,0,2016,0,164,33,3,0
1,0,2016,4,1647,1015,1,0
3,0,2016,2,19,12,2,0
3,0,2016,28,140,72,1,0
3,0,2016,34,1004,647,2,0
5,0,2016,0,557,401,2,0
4,0,2016,23,2347,1815,3,0
4,0,2016,41,3321,2262,1,0
4,0,2016,13,8727,3979,0,0
4,0,2016,2,30,24,2,0
4,0,2016,14,29,29,0,1
0,0,2016,10,979,789,3,0
0,0,2016,38,992,762,3,0
0,0,2016,19,8482,6393,0,0
1,0,2016,12,468,297,3,0
1,0,2016,9,974,447,1,0
1,0,2016,2,26,2,3,0
1,0,2016,10,227,22,0,0
1,0,2016,10,1,1,3,1
1,0,2016,40,226,140,3,0
1,0,2016,26,389,389,2,0
3,0,2016,28,186,124,0,0
3,0,2016,29,999,549,0,0
5,0,2016,2,1411,933,0,0
4,0,2016,11,857,779,3,0
4,0,2016,22,1845,1381,3,0
4,0,2016,37,2065,1728,3,0
4,0,2016,41,6904,5556,0,0
4,0,2016,41,1747,1584,3,0
4,0,2016,30,3571,3048,1,0
4,0,2016,9,460,266,2,0
4,0,2016,27,1806,1478,1,0
4,0,2016,35,4158,3559,0,0
4,0,2016,10,273,161,3,0
4,0,2016,28,137,104,2,0
4,0,2016,36,173,39,2,0
0,0,2016,2,1135,768,1,0
0,0,2016,38,631,441,2,0
0,0,2016,25,6399,5708,0,0
0,0,2016,25,109,109,0,1
1,0,2016,10,162,64,1,0
1,0,2016,10,45,20,2,0
1,0,2016,39,368,368,2,0
1,0,2016,0,13,13,0,1
1,0,2016,32,133,56,2,0
2,0,2016,0,6094,4670,0,0
3,0,2016,8,1525,1116,3,0
3,0,2016,9,1704,980,0,0
3,0,2016,28,4,4,3,1
3,0,2016,10,403,80,0,0
3,0,2016,33,1565,608,1,0
3,0,2016,18,322,319,2,0
3,0,2016,0,907,247,0,0
3,0,2016,6,2526,1036,0,0
3,0,2016,6,1570,837,1,0
5,0,2016,10,890,697,3,0
4,0,2016,12,415,391,2,0
4,0,2016,9,2965,1906,0,0
4,0,2016,1,671,455,3,0
4,0,2016,27,592,508,2,0
4,0,2016,2,286,181,0,0
4,0,2016,2,2,2,2,1
4,0,2016,28,196,151,1,0
4,0,2016,36,21,21,0,1
4,0,2016,42,304,144,2,0
4,0,2016,43,1171,775,3,0
4,0,2016,44,1365,1224,3,0
4,0,2016,44,4563,3492,0,0
4,0,2016,43,1817,1406,1,0
4,0,2016,45,1023,282,2,0
4,0,2016,46,1226,859,1,0
4,0,2016,44,2144,1923,1,0
4,0,2016,19,1214,972,3,0
4,0,2016,47,5502,4440,0,0
4,0,2016,48,1418,1314,3,0
4,0,2016,49,2619,2112,1,0
4,0,2016,50,4893,4496,0,0
4,0,2016,50,2490,1985,1,0
6,0,2016,1,1764,1093,1,0
6,0,2016,33,623,623,2,0
7,0,2016,2,690,563,3,0
7,0,2016,0,2288,1732,1,0
8,0,2016,20,729,51,2,0
8,0,2016,1,179,116,2,0
8,0,2016,2,125,65,1,0
8,0,2016,51,1351,991,3,0
8,0,2016,52,4148,3030,0,0
8,0,2016,52,797,584,2,0
9,0,2016,53,1103,926,2,0
9,0,2016,54,3607,3378,1,0
9,0,2016,9,940,467,3,0
9,0,2016,27,186,186,0,1
9,0,2016,55,885,755,3,0
9,0,2016,28,67,67,2,0
9,0,2016,10,196,25,3,0
9,0,2016,19,2010,1685,1,0
9,0,2016,56,799,520,2,0
10,0,2016,9,2672,2293,1,0
11,0,2016,2,586,438,2,0
12,0,2016,9,1833,1442,1,0
12,0,2016,38,650,329,1,0
12,0,2016,57,1946,1601,3,0
13,0,2016,58,6646,5690,0,0
13,0,2016,33,8035,6879,0,0
4,0,2016,46,155,155,0,1
4,0,2016,59,4436,3847,0,0
4,0,2016,60,67,67,0,1
4,0,2016,19,4222,3373,0,0
4,0,2016,61,1074,186,2,0
6,0,2016,62,713,599,2,0
6,0,2016,63,6844,5389,0,0
7,0,2016,2,535,234,2,0
7,0,2016,0,6006,4876,0,0
8,0,2016,52,2166,1445,1,0
4,0,2016,48,2842,2654,1,0
8,0,2016,0,347,95,3,0
6,0,2016,63,69,69,0,1
9,0,2016,12,324,183,2,0
9,0,2016,9,81,81,0,1
6,0,2016,63,2983,2107,1,0
9,0,2016,27,1028,933,3,0
9,0,2016,2,173,62,0,0
7,0,2016,10,5615,3693,0,0
8,0,2016,64,3557,2666,1,0
9,0,2016,28,278,214,0,0
9,0,2016,10,113,84,2,0
9,0,2016,11,887,887,3,0
9,0,2016,2,58,14,3,0
9,0,2016,65,677,363,1,0
9,0,2016,66,866,398,2,0
9,0,2016,10,606,189,0,0
9,0,2016,0,30,30,0,1
9,0,2016,67,100,100,0,1
9,0,2016,19,1283,1061,3,0
9,0,2016,67,2194,1293,0,0
9,0,2016,67,311,185,2,0
9,0,2016,68,2777,2281,1,0
9,0,2016,69,1730,1338,3,0
9,0,2016,68,929,929,2,0
10,0,2016,2,576,310,3,0
10,0,2016,0,49,49,1,1
11,0,2016,9,7891,6560,0,0
10,0,2016,2,237,230,2,0
11,0,2016,0,23,23,0,1
10,0,2016,0,994,678,3,0
12,0,2016,2,230,127,1,0
12,0,2016,23,2134,1757,3,0
12,0,2016,33,4345,2869,0,0
12,0,2016,70,3454,3150,1,0
12,0,2016,33,20,20,0,1
12,0,2016,6,4353,3502,0,0
12,0,2016,19,1575,1112,3,0
12,0,2016,71,3452,2787,1,0
13,0,2016,28,426,426,2,0
13,0,2016,2,64,34,0,1
13,0,2016,33,50,50,0,1
13,0,2016,72,2079,1629,3,0
13,0,2016,10,1321,720,3,0
13,0,2016,38,715,600,2,0
13,0,2016,0,2234,1468,1,0
13,0,2016,73,4696,3643,0,0
13,0,2016,73,2256,1482,1,0
13,0,2016,0,32,32,1,1
4,0,2016,69,1258,1085,3,0
4,0,2016,69,692,692,2,0
4,0,2016,74,1034,827,2,0
4,0,2016,61,3416,2631,1,0
6,0,2016,9,2341,1734,1,0
6,0,2016,33,161,161,0,1
6,0,2016,62,2180,1751,1,0
8,0,2016,12,505,159,2,0
8,0,2016,75,5433,3578,0,0
8,0,2016,9,2569,1713,0,0
8,0,2016,64,2110,1832,3,0
8,0,2016,10,798,248,0,0
8,0,2016,10,3,3,2,1
8,0,2016,76,637,444,2,0
8,0,2016,0,4,4,1,1
9,0,2016,12,795,414,3,0
9,0,2016,11,3251,2412,0,0
9,0,2016,19,64,64,0,1
10,0,2016,2,1805,493,0,0
11,0,2016,9,46,46,0,1
12,0,2016,2,17,17,0,1
12,0,2016,2,1,1,3,1
12,0,2016,10,478,119,3,0
12,0,2016,57,3305,2705,1,0
13,0,2016,1,168,168,0,1
13,0,2016,10,2361,1377,1,0
13,0,2016,38,37,37,1,1
4,0,2016,44,161,161,0,1
4,0,2016,77,848,492,1,0
4,0,2016,77,730,502,3,0
4,0,2016,49,105,105,0,1
4,0,2016,49,900,690,2,0
4,0,2016,74,6355,5586,0,0
6,0,2016,2,96,48,2,0
6,0,2016,2,255,118,3,0
8,0,2016,10,240,144,3,0
8,0,2016,78,2856,1391,1,0
9,0,2016,53,6368,2531,0,0
9,0,2016,2,1,1,0,1
9,0,2016,28,4,4,0,1
9,0,2016,10,22,22,0,1
9,0,2016,69,699,699,2,0
10,0,2016,0,1411,1150,1,0
11,0,2016,2,680,242,3,0
11,0,2016,2,1159,719,1,0
12,0,2016,23,53,53,0,1
12,0,2016,10,239,192,2,0
12,0,2016,57,6865,4328,0,0
13,0,2016,2,1276,863,1,0
13,0,2016,10,133,22,0,1
13,0,2016,58,108,108,0,1
13,0,2016,33,1970,1624,3,0
13,0,2016,73,1503,1059,3,0
13,0,2016,0,6400,3389,0,0
13,0,2016,0,1277,696,3,0
13,0,2016,79,3462,2754,1,0
4,0,2016,77,95,95,0,1
4,0,2016,77,823,479,2,0
4,0,2016,60,2299,1561,0,0
6,0,2016,1,5300,3804,0,0
6,0,2016,63,835,809,2,0
6,0,2016,0,1082,887,1,0
7,0,2016,2,2704,699,0,0
8,0,2016,12,154,154,0,1
8,0,2016,9,847,660,3,0
8,0,2016,2,230,113,0,0
8,0,2016,51,655,466,2,0
8,0,2016,10,433,177,1,0
9,0,2016,1,178,63,2,0
9,0,2016,66,5127,1364,0,0
9,0,2016,66,1476,1043,3,0
9,0,2016,0,1246,535,0,0
9,0,2016,67,897,597,1,0
10,0,2016,1,1225,954,3,0
11,0,2016,0,613,516,2,0
12,0,2016,80,710,68,2,0
12,0,2016,1,722,497,3,0
12,0,2016,70,907,72,2,0
13,0,2016,81,3554,3355,1,0
13,0,2016,82,9589,6760,0,0
13,0,2016,2,3479,1655,0,0
13,0,2016,33,949,46,2,0
4,0,2016,59,1478,1416,3,0
4,0,2016,69,157,157,0,1
4,0,2016,69,2484,2248,1,0
4,0,2016,83,7423,6430,0,0
4,0,2016,74,1985,1628,3,0
4,0,2016,50,1908,1873,3,0
6,0,2016,1,3,3,2,1
7,0,2016,2,1330,851,1,0
8,0,2016,2,83,29,3,0
8,0,2016,51,1637,1183,1,0
8,0,2016,10,165,98,2,0
8,0,2016,52,140,140,0,1
8,0,2016,76,976,528,0,0
8,0,2016,0,197,50,2,0
9,0,2016,12,3242,1884,0,0
9,0,2016,28,153,96,1,0
9,0,2016,55,327,316,2,0
9,0,2016,0,512,240,1,0
10,0,2016,2,56,56,0,1
10,0,2016,0,348,334,2,0
11,0,2016,9,939,597,2,0
11,0,2016,2,2888,1541,0,0
11,0,2016,0,1211,1005,3,0
12,0,2016,80,2061,1423,1,0
12,0,2016,84,1704,1527,3,0
12,0,2016,38,1441,948,0,0
12,0,2016,38,53,53,0,1
12,0,2016,38,421,193,3,0
12,0,2016,0,892,657,1,0
12,0,2016,0,297,247,2,0
12,0,2016,19,975,814,2,0
13,0,2016,81,908,908,2,0
13,0,2016,28,76,76,0,1
13,0,2016,72,9484,7763,0,0
4,0,2016,44,138,62,2,0
4,0,2016,46,2623,1663,0,0
4,0,2016,46,853,407,3,0
4,0,2016,85,1952,1343,1,0
4,0,2016,59,2245,1579,1,0
4,0,2016,60,976,648,1,0
4,0,2016,83,762,762,2,0
4,0,2016,74,2927,2699,1,0
4,0,2016,74,47,47,1,1
6,0,2016,1,955,723,3,0
6,0,2016,62,4603,2674,0,0
8,0,2016,51,2767,1529,0,0
8,0,2016,76,25,25,0,1
8,0,2016,76,702,311,3,0
8,0,2016,0,603,292,1,0
9,0,2016,12,1364,884,1,0
9,0,2016,11,125,125,0,1
9,0,2016,53,2109,1496,3,0
9,0,2016,9,1465,633,1,0
9,0,2016,27,456,456,2,0
9,0,2016,33,1399,804,1,0
10,0,2016,9,1490,942,3,0
10,0,2016,10,699,653,3,0
10,0,2016,52,3123,2634,1,0
12,0,2016,0,464,237,3,0
13,0,2016,81,9502,6547,0,0
13,0,2016,2,563,423,2,0
13,0,2016,73,129,129,0,1
13,0,2016,0,648,402,2,0
13,0,2016,79,1057,917,2,0
4,0,2016,36,890,329,0,0
4,0,2016,42,55,55,0,1
4,0,2016,45,3456,2605,1,0
4,0,2016,85,1315,729,3,0
4,0,2016,42,764,450,1,0
4,0,2016,42,1320,915,0,0
4,0,2016,43,3442,2819,0,0
4,0,2016,0,71,71,0,1
4,0,2016,50,864,864,2,0
6,0,2016,63,1736,1460,3,0
8,0,2016,12,2988,1501,0,0
8,0,2016,20,6084,4814,0,0
9,0,2016,11,1582,1108,1,0
9,0,2016,54,2219,2023,3,0
9,0,2016,65,1212,663,0,0
9,0,2016,19,4391,2917,0,0
9,0,2016,56,5319,3515,0,0
9,0,2016,86,5870,5222,0,0
9,0,2016,86,1864,1636,3,0
9,0,2016,68,4116,1736,0,0
10,0,2016,10,394,332,2,0
10,0,2016,52,1859,1705,3,0
10,0,2016,52,969,96,2,0
11,0,2016,9,1605,1443,3,0
11,0,2016,1,7074,5776,0,0
11,0,2016,10,576,475,2,0
12,0,2016,2,127,90,3,0
12,0,2016,2,142,68,2,0
12,0,2016,10,1833,1108,0,0
12,0,2016,0,2426,1565,0,0
13,0,2016,82,2053,2048,3,0
13,0,2016,1,58,58,1,1
13,0,2016,38,5644,3852,0,0
13,0,2016,79,9530,7656,0,0
13,0,2016,47,8685,6529,0,0
4,0,2016,46,801,537,2,0
4,0,2016,59,869,869,2,0
4,0,2016,77,1386,1043,0,0
4,0,2016,0,198,54,2,0
4,0,2016,0,624,347,1,0
4,0,2016,47,527,412,2,0
4,0,2016,49,1638,1304,3,0
7,0,2016,2,103,103,0,1
8,0,2016,1,54,54,0,1
8,0,2016,20,3425,2734,1,0
8,0,2016,64,1065,245,2,0
9,0,2016,9,3012,1548,0,0
9,0,2016,9,18,18,1,1
9,0,2016,27,3258,2960,0,0
9,0,2016,55,1733,1418,1,0
9,0,2016,2,93,38,1,0
9,0,2016,28,108,108,3,0
9,0,2016,33,1008,422,3,0
