Academic_Program_Name,Year,min_opening_rank,max_closing_rank
41,2023,1219,15198
42,2016,55,1320
42,2017,8,1335
42,2018,48,2967
42,2019,99,3767
42,2020,49,3673
42,2021,154,4476
42,2022,68,3432
42,2023,144,5137
43,2016,675,3442
43,2017,127,3485
43,2018,135,6630
43,2019,382,8060
43,2020,370,9028
43,2021,583,9530
43,2022,159,9190
43,2023,190,9158
43,2024,155,10726
44,2016,62,4563
44,2017,23,4142
44,2018,904,7969
44,2019,906,9944
44,2020,957,10105
44,2021,705,11657
44,2022,900,12126
44,2023,846,13375
45,2016,282,7242
45,2017,906,6995
45,2018,737,13385
45,2019,1167,18626
45,2020,1895,19104
46,2016,155,2623
46,2017,398,2547
46,2018,507,4131
46,2019,155,6468
46,2020,405,5944
46,2021,352,5942
46,2022,90,5533
46,2023,401,6095
46,2024,167,6582
47,2016,412,8685
47,2017,619,9773
47,2018,15,15851
47,2019,743,20406
47,2020,633,20922
47,2021,691,25065
47,2022,792,23279
47,2023,759,23730
47,2024,933,25824
48,2016,118,8852
48,2017,900,10091
48,2018,149,15373
48,2019,892,20787
48,2020,1544,21263
48,2021,921,26211
48,2022,1065,23258
48,2023,860,23275
48,2024,1140,25614
49,2016,105,5538
49,2017,4,5759
49,2018,629,11780
49,2019,694,12443
49,2020,649,14391
49,2021,1032,14964
49,2022,973,15927
49,2023,1158,16066
49,2024,1128,17790
50,2016,864,4893
50,2017,176,4662
50,2018,30,9588
50,2019,981,11356
50,2020,1156,12143
51,2016,466,2767
51,2017,51,2892
51,2018,21,5499
51,2019,86,5722
51,2020,35,6282
51,2021,13,10742
51,2022,61,9527
51,2023,112,12599
51,2024,130,21392
52,2016,96,6869
52,2017,70,7835
52,2018,311,10762
52,2019,459,21284
52,2020,904,21078
52,2021,857,26294
52,2022,920,12794
52,2023,931,11713
52,2024,859,13464
53,2016,926,6368
53,2017,806,6345
53,2018,869,8566
53,2019,952,10190
53,2020,1628,7600
53,2021,1057,10710
53,2022,981,8056
54,2016,224,9353
54,2017,215,8849
54,2018,521,12015
54,2019,1268,14832
54,2020,1962,13151
54,2021,1617,15620
54,2022,1010,16460
55,2016,86,4573
55,2017,97,6538
55,2018,207,9797
55,2019,416,12913
55,2020,498,16229
55,2021,666,18350
55,2022,798,18095
55,2023,842,18848
55,2024,712,19360
56,2016,520,5319
56,2017,162,5030
56,2018,2,10137
56,2019,759,12924
56,2020,1266,14212
56,2021,672,14636
56,2022,745,13887
56,2023,819,13898
56,2024,139,13618
57,2016,1054,6865
57,2017,62,6233
57,2018,101,9926
57,2019,961,14418
57,2020,940,16267
57,2021,1432,16960
57,2022,1277,20799
57,2023,1176,17600
57,2024,1162,18299
58,2016,108,6646
58,2017,237,7070
58,2018,644,9290
59,2016,869,4436
59,2017,29,4523
59,2018,174,8759
59,2019,1019,9873
59,2020,1172,12393
59,2021,1189,13781
59,2022,986,15722
59,2023,1111,15454
60,2016,67,2299
60,2017,32,2030
60,2018,50,5997
60,2019,259,7989
60,2020,501,10056
60,2021,474,10787
60,2022,501,11336
60,2023,504,11920
61,2016,138,5558
61,2017,716,7160
61,2018,32,11137
61,2019,277,15160
61,2020,1009,16058
62,2016,530,4603
62,2017,173,3459
62,2018,764,5065
62,2019,233,4941
62,2020,277,3881
62,2021,585,8147
62,2022,275,7402
62,2023,484,6124
62,2024,498,5748
63,2016,69,6844
63,2017,715,6495
63,2018,812,10799
63,2019,697,11047
63,2020,929,12683
63,2021,813,14635
63,2022,879,13850
63,2023,1005,23317
63,2024,817,25107
64,2016,162,7469
64,2017,951,6692
64,2018,426,11118
64,2019,729,13703
64,2020,1633,17093
64,2021,1346,15484
64,2022,1109,18408
64,2023,1422,19120
64,2024,1280,17618
65,2016,80,1212
65,2017,29,1095
65,2018,34,1759
65,2019,56,2219
65,2020,41,1797
65,2021,55,2686
65,2022,58,10297
65,2023,99,8804
65,2024,42,8611
66,2016,398,5127
66,2017,61,4173
66,2018,95,6037
66,2019,28,7509
66,2020,403,7607
66,2021,119,10571
66,2022,720,8618
66,2023,105,9527
66,2024,778,8939
67,2016,100,6123
67,2017,45,6356
67,2018,36,10453
67,2019,483,14318
67,2020,632,13435
67,2021,797,13920
67,2022,884,14576
67,2023,787,16196
67,2024,944,16564
68,2016,926,4116
68,2017,132,3753
68,2018,529,5287
68,2019,1283,9127
68,2020,702,9778
68,2021,266,9605
68,2022,106,14469
68,2023,694,17714
68,2024,942,15922
69,2016,157,5280
69,2017,635,4816
69,2018,11,9505
69,2019,876,17900
69,2020,1529,19583
69,2021,852,24380
69,2022,856,21645
69,2023,1071,23463
70,2016,72,7825
70,2017,1031,6900
70,2018,12,12618
70,2019,999,18037
70,2020,1719,16903
70,2021,1393,17792
70,2022,1288,17890
70,2023,1395,16434
70,2024,1082,17322
71,2016,1,7531
71,2017,918,7688
71,2018,310,10352
71,2019,832,11369
71,2020,1639,13959
72,2016,128,9484
72,2017,81,10455
72,2018,601,12977
72,2019,968,17578
72,2020,2130,20331
72,2021,1970,24361
72,2022,1268,23245
72,2023,1229,22003
72,2024,1351,23835
73,2016,129,4696
73,2017,66,4513
73,2018,389,7055
73,2019,373,7583
73,2020,457,7687
73,2021,390,8275
73,2022,569,10634
73,2023,481,10150
74,2016,47,6355
74,2017,189,6484
74,2018,136,12698
74,2019,814,12915
74,2020,1705,15530
74,2021,1562,18269
74,2022,1124,16710
74,2023,1310,17722
75,2016,802,5433
75,2017,61,5191
75,2018,130,8136
75,2019,633,11887
75,2020,1255,12208
75,2021,1048,12606
75,2022,1012,12011
75,2023,1080,12176
75,2024,829,12032
76,2016,1,976
76,2017,164,921
76,2018,46,1956
76,2019,57,2887
76,2020,125,2757
76,2021,79,2858
76,2022,17,2856
76,2023,35,3686
76,2024,100,3445
77,2016,95,1386
77,2017,68,1321
77,2018,237,2787
77,2019,97,3594
77,2020,77,3215
78,2016,619,3110
78,2017,3,3703
78,2018,872,9113
78,2019,558,11273
78,2020,763,12945
78,2021,1027,16411
78,2022,1010,17376
78,2023,1337,17307
78,2024,95,17600
79,2016,917,9530
79,2017,1014,10491
79,2018,487,15265
79,2019,959,19237
80,2016,68,3322
80,2017,205,2589
80,2018,511,4407
80,2019,270,4673
80,2020,319,6545
81,2016,908,9502
81,2017,725,10465
81,2018,1117,15425
81,2019,1163,18430
81,2020,2346,17270
81,2021,2140,24707
81,2022,1474,23479
81,2023,1449,22738
81,2024,1458,24275
82,2016,412,9589
82,2017,1033,10565
82,2018,1122,14083
82,2019,1403,19879
82,2020,2082,19741
82,2021,2105,21849
82,2022,1496,22862
82,2023,1592,22094
82,2024,1451,25416
83,2016,762,7423
83,2017,993,8095
83,2018,325,12229
83,2019,910,16022
83,2020,1938,18540
83,2021,1268,20280
83,2022,1108,20265
83,2023,1298,20146
84,2016,44,8000
84,2017,159,7915
84,2018,28,14326
84,2019,732,12991
84,2020,911,10894
85,2016,39,3759
85,2017,125,3804
85,2018,583,7523
85,2019,390,9545
85,2020,931,10956
85,2021,903,13143
85,2022,592,12657
85,2023,826,12938
85,2024,934,12933
86,2016,846,5870
86,2017,1020,5740
86,2018,8,10428
87,2016,625,9111
87,2017,869,9990
87,2018,230,16035
87,2019,947,21528
87,2020,2029,21100
87,2021,958,26162
87,2022,1222,23356
87,2023,1175,24166
87,2024,1174,21592
88,2016,171,7376
88,2017,667,8238
88,2018,301,12755
88,2019,728,15019
88,2020,916,18361
88,2021,978,20474
88,2022,812,22202
88,2023,896,20492
88,2024,716,20817
89,2016,243,9137
89,2017,1002,10303
89,2018,800,14027
89,2019,1417,14730
89,2020,2254,16685
89,2021,2040,20345
89,2022,1394,21195
89,2023,1470,18004
89,2024,1461,18700
90,2016,191,9383
90,2017,1071,10419
90,2018,848,14485
90,2019,1195,18456
90,2020,2189,20329
90,2021,2022,25224
90,2022,1485,23106
90,2023,1436,22939
90,2024,1456,24753
